symbol,bid,bid_qty,ask,ask_qty,last,volume,vwap,low,high,change,change_pct,timestamp
BTC/USD,72003.7,2.6892571,72007.9,1.67359765,72007.9,1244.70937713,71122.8,70517.7,72204.6,1245.7,1.76,2026-04-13T14:54:24.504684Z
BTC/USD,72007.8,2.97225691,72007.9,0.00198567,72007.8,1239.70893333,71124.3,70517.7,72204.6,1251.7,1.77,2026-04-13T14:54:30.586632Z
BTC/USD,72007.8,4.44529819,72007.9,0.00159683,72007.9,1239.70932217,71124.3,70517.7,72204.6,1251.8,1.77,2026-04-13T14:54:35.966832Z
BTC/USD,72007.8,4.47497326,72027.2,0.0085801,72027.2,1239.71552006,71124.3,70517.7,72204.6,1271.2,1.8,2026-04-13T14:54:38.233384Z
BTC/USD,72007.8,4.44529819,72007.9,0.00094187,72007.9,1239.70997713,71124.3,70517.7,72204.6,1251.8,1.77,2026-04-13T14:54:36.106638Z
BTC/USD,72025.5,4.90330376,72025.6,0.00114642,72025.6,1239.38226364,71124.4,70517.7,72204.6,1288.3,1.82,2026-04-13T14:54:40.771396Z
BTC/USD,72025.5,4.85457651,72025.6,0.00114642,72025.5,1239.38525141,71124.4,70517.7,72204.6,1288.2,1.82,2026-04-13T14:54:43.322545Z
BTC/USD,72025.5,5.02197651,72025.6,0.00075768,72025.6,1239.36223764,71124.4,70517.7,72204.6,1288.3,1.82,2026-04-13T14:54:46.054345Z
BTC/USD,72025.5,6.85958179,72028.9,0.00143189,72028.9,1239.379727,71124.4,70517.7,72204.6,1291.7,1.83,2026-04-13T14:54:50.856649Z
BTC/USD,72032.0,3.16775109,72053.1,0.001387,72039.5,1239.38269989,71124.4,70517.7,72204.6,1302.3,1.84,2026-04-13T14:54:50.908373Z
BTC/USD,72025.5,6.85958179,72032.1,0.001388,72028.9,1239.38115889,71124.4,70517.7,72204.6,1291.7,1.83,2026-04-13T14:54:50.857226Z
BTC/USD,72053.0,6.78380233,72053.1,0.00265914,72053.1,1233.50931925,71126.4,70517.7,72204.6,1313.3,1.86,2026-04-13T14:54:55.826712Z
BTC/USD,72053.0,7.1590379,72053.1,0.01468514,72053.1,1233.50931288,71126.4,70517.7,72204.6,1313.2,1.86,2026-04-13T14:55:00.710407Z
BTC/USD,72073.9,5.35827994,72074.0,0.00132227,72074.0,1233.52421855,71126.4,70517.7,72204.6,1334.1,1.89,2026-04-13T14:55:04.238483Z
BTC/USD,72053.0,7.31543797,72053.9,5.1e-05,72053.1,1233.52399802,71126.4,70517.7,72204.6,1313.2,1.86,2026-04-13T14:55:03.199244Z
BTC/USD,72073.9,2.65282387,72074.0,0.02530071,72074.0,1233.52202983,71126.4,70517.7,72204.6,1334.1,1.89,2026-04-13T14:55:04.837569Z
BTC/USD,72072.0,5.1e-05,72074.0,0.20046789,72073.9,1233.52300245,71126.4,70517.7,72204.6,1334.1,1.89,2026-04-13T14:55:06.690028Z
BTC/USD,72068.4,0.0002,72068.5,0.85955892,72068.4,1233.52380245,71126.4,70517.7,72204.6,1328.6,1.88,2026-04-13T14:55:09.477761Z
BTC/USD,72068.4,4.34413028,72244.2,1.81687709,72244.2,1333.4869352,71204.3,70517.7,72244.2,1504.3,2.13,2026-04-13T14:55:11.151316Z
BTC/USD,72092.4,0.06365044,72092.5,0.01787106,72092.4,1333.49498476,71204.3,70517.7,72244.2,1352.5,1.91,2026-04-13T14:55:11.171846Z
BTC/USD,72092.4,2.78062223,72092.5,0.02850595,72092.4,1333.5037818,71204.3,70517.7,72244.2,1352.5,1.91,2026-04-13T14:55:11.633091Z
BTC/USD,72092.4,0.43078108,72092.5,0.05628395,72092.5,1333.50358775,71204.3,70517.7,72244.2,1352.6,1.91,2026-04-13T14:55:14.585498Z
BTC/USD,72092.4,0.06498358,72092.5,0.01387106,72092.4,1333.49365162,71204.3,70517.7,72244.2,1352.5,1.91,2026-04-13T14:55:11.169775Z
BTC/USD,72092.4,2.78274871,72092.5,0.02850595,72092.4,1333.50165532,71204.3,70517.7,72244.2,1352.5,1.91,2026-04-13T14:55:11.629778Z
BTC/USD,72092.4,2.77390581,72092.5,0.02850595,72092.4,1333.51049822,71204.3,70517.7,72244.2,1352.5,1.91,2026-04-13T14:55:11.784238Z
BTC/USD,72092.4,0.58040479,72092.5,0.05628395,72092.4,1333.51017868,71204.3,70517.7,72244.2,1352.5,1.91,2026-04-13T14:55:15.057112Z
BTC/USD,72092.4,2.74602268,72092.5,0.02812305,72092.4,1333.518677,71204.3,70517.7,72244.2,1352.5,1.91,2026-04-13T14:55:15.721620Z
BTC/USD,72092.4,3.56361781,72106.7,0.00696153,72106.7,1333.61626117,71204.4,70517.7,72244.2,1366.9,1.93,2026-04-13T14:55:17.076605Z
BTC/USD,72106.6,0.348336,72108.9,0.63049164,72108.9,1333.90034227,71204.6,70517.7,72244.2,1369.1,1.94,2026-04-13T14:55:17.171837Z
BTC/USD,72092.4,0.23922079,72092.5,0.05586519,72092.5,1333.51142551,71204.3,70517.7,72244.2,1352.6,1.91,2026-04-13T14:55:15.308251Z
BTC/USD,72092.4,3.56361781,72092.5,0.00176383,72092.4,1333.51871976,71204.3,70517.7,72244.2,1352.5,1.91,2026-04-13T14:55:16.960276Z
BTC/USD,72100.3,0.07138358,72106.7,0.11041653,72100.3,1333.62297759,71204.4,70517.7,72244.2,1360.5,1.92,2026-04-13T14:55:17.080254Z
BTC/USD,72108.2,0.41381552,72108.3,0.00202317,72108.2,1333.90759431,71204.6,70517.7,72244.2,1368.4,1.93,2026-04-13T14:55:17.882957Z
BTC/USD,72108.2,3.04315097,72108.3,0.00096897,72108.3,1333.90762249,71204.6,70517.7,72244.2,1368.5,1.93,2026-04-13T14:55:21.149857Z
BTC/USD,72108.2,0.27067314,72108.3,0.50402663,72108.3,1333.90332249,71204.6,70517.7,72244.2,1368.4,1.93,2026-04-13T14:55:25.344101Z
BTC/USD,72108.2,0.25433557,72108.3,2.13524067,72108.3,1334.00330695,71204.7,70517.7,72244.2,1368.4,1.93,2026-04-13T14:55:27.335492Z
BTC/USD,72108.2,0.12930051,72108.3,2.08401114,72108.2,1334.03066201,71204.7,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.344041Z
BTC/USD,72108.2,0.21971914,72108.3,2.10968871,72108.2,1334.03892338,71204.7,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.356046Z
BTC/USD,72108.2,0.21145776,72108.3,2.80390777,72108.2,1334.04718476,71204.7,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.363479Z
BTC/USD,72108.2,0.19823957,72108.3,4.29227164,72108.2,1334.06040295,71204.7,70517.7,72244.2,1368.3,1.93,2026-04-13T14:55:27.374672Z
